time,mean_TRMM_3B42
2015-10-24,15.7778521
2015-10-25,7.94962311
2015-10-26,7.85677671
2015-10-27,9.17619228
2015-10-28,1.17324018
2015-10-29,23.530201
2015-10-30,22.9695454
2015-10-31,36.6274643
2015-11-01,5.55939579
2015-11-02,1.75289786
2015-11-03,0.558589816
2015-11-04,10.1790962
2015-11-05,14.0242949
2015-11-06,8.98726082
2015-11-07,8.01878738
2015-11-08,4.41843271
2015-11-09,28.384243
2015-11-10,2.17970133
2015-11-11,3.50972819
2015-11-12,11.641427
2015-11-13,7.2042942
2015-11-14,7.85272169
2015-11-15,33.9510498
2015-11-16,11.8604145
2015-11-17,32.5542297
2015-11-18,2.27331543
2015-11-19,3.72682691
2015-11-20,9.18934441
2015-11-21,12.0510015
2015-11-22,20.130228
2015-11-23,5.99230862
2015-11-24,19.9328365
2015-11-25,1.63352787
2015-11-26,5.84394169
2015-11-27,12.6334639
2015-11-28,3.62221694
2015-11-29,0.813364327
2015-11-30,0
2015-12-01,6.97172308
2015-12-02,2.37006974
2015-12-03,5.66294813
2015-12-04,46.6193542
2015-12-05,1.19367278
2015-12-06,4.19429445
2015-12-07,4.03657055
2015-12-08,4.1318655
2015-12-09,4.39468575
2015-12-10,2.43298697
2015-12-11,8.68250275
2015-12-12,1.21625793
2015-12-13,27.112133
2015-12-14,3.9267478
2015-12-15,3.96072984
2015-12-16,6.6255455
2015-12-17,2.87117052
2015-12-18,10.7138796
2015-12-19,1.59077823
2015-12-20,13.6721487
2015-12-21,5.33015728
2015-12-22,14.090682
2015-12-23,0.495189518
2015-12-24,1.29044557
2015-12-25,6.12040806
2015-12-26,1.81641042
2015-12-27,2.38330746
2015-12-28,33.5160713
2015-12-29,2.12109041
2015-12-30,0.20342201
2015-12-31,1.33047271
2016-01-01,7.67610216
2016-01-02,0.0957670435
2016-01-03,13.1737995
2016-01-04,43.6018944
2016-01-05,14.358263
2016-01-06,55.4182816
2016-01-07,12.2477551
2016-01-08,3.7788806
2016-01-09,5.1617651
2016-01-10,0.910336435
2016-01-11,0.559666336
2016-01-12,1.51067924
2016-01-13,1.1229912
2016-01-14,1.65654588
2016-01-15,0
2016-01-16,0
2016-01-17,1.46769285
2016-01-18,0.0868725926
2016-01-19,0.13872084
2016-01-20,0
2016-01-21,0
2016-01-22,0.183690533
2016-01-23,1.98582661
2016-01-24,1.36864483
2016-01-25,2.23956347
2016-01-26,0
2016-01-27,1.48944688
2016-01-28,1.79693067
2016-01-29,13.1551352
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,0
2016-02-03,6.55904818
2016-02-04,3.7073822
2016-02-05,25.3284092
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,21.5572357
2016-02-10,2.93365884
2016-02-11,1.57462668
2016-02-12,13.5534592
2016-02-13,3.17543006
2016-02-14,0
2016-02-15,0.154523626
2016-02-16,3.96531224
2016-02-17,60.1595039
2016-02-18,0.337269664
2016-02-19,2.46816111
2016-02-20,0.85141176
2016-02-21,14.939476
2016-02-22,0.134169549
2016-02-23,4.93210649
2016-02-24,2.17189145
2016-02-25,2.67006278
2016-02-26,0.398557484
2016-02-27,0
2016-02-28,1.02531123
2016-02-29,0.676277876
2016-03-01,1.41305983
2016-03-02,2.46474195
2016-03-03,0.955150127
2016-03-04,3.86628318
2016-03-05,5.25233221
2016-03-06,42.5727882
2016-03-07,3.61700201
2016-03-08,1.22382939
2016-03-09,0
2016-03-10,7.79908991
2016-03-11,0.10945297
2016-03-12,4.03392839
2016-03-13,5.75608683
2016-03-14,4.14721441
2016-03-15,0
2016-03-16,0
2016-03-17,42.0002174
2016-03-18,2.841784
2016-03-19,12.4076071
2016-03-20,35.3790817
2016-03-21,4.19384003
2016-03-22,0.694733024
2016-03-23,3.70351768
2016-03-24,3.04083371
2016-03-25,0
2016-03-26,0
2016-03-27,16.1195698
2016-03-28,15.2213497
2016-03-29,0.268693745
2016-03-30,21.8422985
2016-03-31,0.0457496345
2016-04-01,16.7766075
2016-04-02,18.6320877
2016-04-03,0.737096906
2016-04-04,1.26681602
2016-04-05,9.9367342
2016-04-06,0.546917081
2016-04-07,8.02838802
2016-04-08,0
2016-04-09,19.1913795
2016-04-10,9.87887192
2016-04-11,19.3632603
2016-04-12,105.6465
2016-04-13,0.0907726437
2016-04-14,0
2016-04-15,0
2016-04-16,7.54173374
2016-04-17,0.276040047
2016-04-18,9.44906139
2016-04-19,45.1603775
2016-04-20,5.8137207
2016-04-21,51.7253914
2016-04-22,17.8872128
2016-04-23,54.9273949
2016-04-24,35.1165161
2016-04-25,22.4387875
2016-04-26,11.7139359
2016-04-27,18.4340572
2016-04-28,25.8940258
2016-04-29,9.94098854
2016-04-30,13.0883131
2016-05-01,17.4226608
2016-05-02,10.5350685
2016-05-03,1.79322267
2016-05-04,6.37550497
2016-05-05,8.20222664
2016-05-06,27.9285908
2016-05-07,5.6178751
2016-05-08,12.7103767
2016-05-09,7.63827848
2016-05-10,42.5280685
2016-05-11,1.18642235
2016-05-12,3.82613254
2016-05-13,1.24942756
2016-05-14,46.5399513
2016-05-15,3.5910821
2016-05-16,9.71755791
2016-05-17,36.9051666
2016-05-18,18.5687408
2016-05-19,10.9395733
2016-05-20,5.25288868
2016-05-21,21.9260712
2016-05-22,15.9980412
2016-05-23,8.73296547
2016-05-24,23.1761513
2016-05-25,12.7489223
2016-05-26,32.9343987
2016-05-27,0.166453451
2016-05-28,24.6414356
2016-05-29,7.94488764
2016-05-30,5.91647768
2016-05-31,10.9564676
2016-06-01,23.1937199
2016-06-02,2.83204198
2016-06-03,9.05183506
2016-06-04,3.95390058
2016-06-05,9.29520512
2016-06-06,10.4523354
2016-06-07,7.57570696
2016-06-08,5.51725769
2016-06-09,3.50490236
2016-06-10,11.3774462
2016-06-11,7.1800704
2016-06-12,4.80024195
2016-06-13,19.8192539
2016-06-14,48.4276237
2016-06-15,4.7754631
2016-06-16,2.04872179
